x1,y1,x2,y2,x1
1160,570,584,700,1160
1100,923,688,1097,1100
1048,1280,783,1499,1048
990,1642,888,1905,990
933,2012,993,2311,933
870,2389,1096,2741,870
711,2775,1204,3168,711
1553,596,984,696,1553
1502,947,1086,1089,1502
1452,1303,1191,1486,1452
1389,1669,1293,1889,1389
133,2043,1397,2301,133
1277,2421,1506,2712,1277
1235,2801,1623,3134,1235
1951,618,1377,690,1951
1901,972,1487,1077,1901
1854,1331,1590,1473,1854
1802,1697,1692,1869,1802
1751,2067,1808,2279,1751
1700,2447,1917,2687,1700
1653,2832,2029,3101,1653
2348,643,1765,685,2348
2308,996,1873,1069,2308
2258,1357,1977,1458,2258
2210,1723,2089,1855,2210
2165,2096,2202,2259,2165
2117,2476,2314,2661,2117
2066,2866,2424,3071,2066
2755,668,2141,682,2755
2714,1023,2250,1062,2714
2669,1384,2360,1446,2669
2624,1752,2470,1839,2624
2578,2124,2583,2233,2578
2525,2504,2693,2637,2525
2492,2894,2813,3044,2492
3150,694,2508,678,3150
3112,1047,2618,1055,3112
3076,1410,2730,1436,3076
3027,17774,2836,1816,3027
2986,2148,2952,2207,2986
2954,2534,3072,2611,2954
2911,2924,3190,3015,2911
3555,717,2869,673,3555
3522,1074,2981,1048,3522
3484,1438,3095,1422,3484
3444,1805,3211,1807,3444
3411,2194,3332,2203,3411
3372,2564,3443,2587,3372
3337,2957,3562,2982,3337
